Time,Number of labor during construction work,Labor percent,Floor Area,Floor Height,Temperature,Precipitation,Alterations in design or drawings,Material shortages,Lack of labor surveillance,Equiment efficiency,Improvement in construction method,Accidents,Haulage of material within construction site,Unsuitablity of material storage location,Actual Productivity (m3/hr)
1,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,6.75
3,25,28,7425.7,12,14,0,2,3,2,3,3,0,3,2,6.875
4,25,28,7425.7,12,16,0,2,3,3,3,3,0,3,2,7.375
5,25,28,7425.7,12,18,0,2,3,3,3,3,0,3,2,7.375
6,25,28,7425.7,12,18,0,2,3,3,2,3,0,3,2,7.5
7,25,28,7425.7,12,19,0,2,3,2,3,3,0,3,2,6.87
8,25,28,7425.7,12,15,0,2,3,2,3,3,0,3,2,7.125
9,25,28,7425.7,12,13,0,2,3,3,3,3,0,3,2,7.7
10,25,28,7425.7,12,11,0,2,3,3,3,3,0,3,2,7.37
11,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,7.5
12,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,7.8
2,42,38,6458.35,10,9,0,2,3,2,3,2,0,1,3,13.26
4,42,38,6458.35,10,15,0,2,3,2,3,2,0,1,3,13.52
5,42,38,6458.35,10,17,0,2,2,2,3,2,0,1,3,13.78
7,42,38,6458.35,10,18,0,2,2,1,3,2,0,1,3,13
8,42,38,6458.35,10,20,0,2,2,1,3,2,0,1,3,11.96
9,42,38,6458.35,10,20,0,2,1,1,3,2,0,1,3,12.22
10,42,38,6458.35,10,18,0,2,1,1,3,2,0,1,3,13.26
11,42,38,6458.35,10,17,0,2,1,2,3,2,0,1,3,13.78
3,19,42,822.33,9.16,9,0,1,3,1,3,2,0,2,1,2.9
5,19,42,822.33,9.16,15,3,1,3,1,1,2,0,2,1,1.95
7,19,42,822.33,9.16,17,5,1,3,1,3,2,0,2,1,3.64
8,19,42,822.33,9.16,18,10,1,2,1,2,2,0,2,1,1.17
